Date,Year,Month,Day,Time,Quarter,Day Of Week,Hour,Minute,Second,Abb. Day Of Week,AM_PM
2020-01-01 00:00:00+00:00,2020,1,1,00:00:00,1,2,0,0,0,Wed,AM
2020-01-01 01:00:00+00:00,2020,1,1,01:00:00,1,2,1,0,0,Wed,AM
2020-01-01 02:00:00+00:00,2020,1,1,02:00:00,1,2,2,0,0,Wed,AM
2020-01-01 03:00:00+00:00,2020,1,1,03:00:00,1,2,3,0,0,Wed,AM
2020-01-01 04:00:00+00:00,2020,1,1,04:00:00,1,2,4,0,0,Wed,AM
2020-01-01 05:00:00+00:00,2020,1,1,05:00:00,1,2,5,0,0,Wed,AM
2020-01-01 06:00:00+00:00,2020,1,1,06:00:00,1,2,6,0,0,Wed,AM
2020-01-01 07:00:00+00:00,2020,1,1,07:00:00,1,2,7,0,0,Wed,AM
2020-01-01 08:00:00+00:00,2020,1,1,08:00:00,1,2,8,0,0,Wed,AM
2020-01-01 09:00:00+00:00,2020,1,1,09:00:00,1,2,9,0,0,Wed,AM
2020-01-01 10:00:00+00:00,2020,1,1,10:00:00,1,2,10,0,0,Wed,AM
2020-01-01 11:00:00+00:00,2020,1,1,11:00:00,1,2,11,0,0,Wed,AM
2020-01-01 12:00:00+00:00,2020,1,1,12:00:00,1,2,12,0,0,Wed,PM
2020-01-01 13:00:00+00:00,2020,1,1,13:00:00,1,2,13,0,0,Wed,PM
2020-01-01 14:00:00+00:00,2020,1,1,14:00:00,1,2,14,0,0,Wed,PM
2020-01-01 15:00:00+00:00,2020,1,1,15:00:00,1,2,15,0,0,Wed,PM
2020-01-01 16:00:00+00:00,2020,1,1,16:00:00,1,2,16,0,0,Wed,PM
2020-01-01 17:00:00+00:00,2020,1,1,17:00:00,1,2,17,0,0,Wed,PM
2020-01-01 18:00:00+00:00,2020,1,1,18:00:00,1,2,18,0,0,Wed,PM
2020-01-01 19:00:00+00:00,2020,1,1,19:00:00,1,2,19,0,0,Wed,PM
2020-01-01 20:00:00+00:00,2020,1,1,20:00:00,1,2,20,0,0,Wed,PM
2020-01-01 21:00:00+00:00,2020,1,1,21:00:00,1,2,21,0,0,Wed,PM
2020-01-01 22:00:00+00:00,2020,1,1,22:00:00,1,2,22,0,0,Wed,PM
2020-01-01 23:00:00+00:00,2020,1,1,23:00:00,1,2,23,0,0,Wed,PM
2020-01-02 00:00:00+00:00,2020,1,2,00:00:00,1,3,0,0,0,Thu,AM
2020-01-02 01:00:00+00:00,2020,1,2,01:00:00,1,3,1,0,0,Thu,AM
2020-01-02 02:00:00+00:00,2020,1,2,02:00:00,1,3,2,0,0,Thu,AM
2020-01-02 03:00:00+00:00,2020,1,2,03:00:00,1,3,3,0,0,Thu,AM
2020-01-02 04:00:00+00:00,2020,1,2,04:00:00,1,3,4,0,0,Thu,AM
2020-01-02 05:00:00+00:00,2020,1,2,05:00:00,1,3,5,0,0,Thu,AM
2020-01-02 06:00:00+00:00,2020,1,2,06:00:00,1,3,6,0,0,Thu,AM
2020-01-02 07:00:00+00:00,2020,1,2,07:00:00,1,3,7,0,0,Thu,AM
2020-01-02 08:00:00+00:00,2020,1,2,08:00:00,1,3,8,0,0,Thu,AM
2020-01-02 09:00:00+00:00,2020,1,2,09:00:00,1,3,9,0,0,Thu,AM
2020-01-02 10:00:00+00:00,2020,1,2,10:00:00,1,3,10,0,0,Thu,AM
2020-01-02 11:00:00+00:00,2020,1,2,11:00:00,1,3,11,0,0,Thu,AM
2020-01-02 12:00:00+00:00,2020,1,2,12:00:00,1,3,12,0,0,Thu,PM
2020-01-02 13:00:00+00:00,2020,1,2,13:00:00,1,3,13,0,0,Thu,PM
2020-01-02 14:00:00+00:00,2020,1,2,14:00:00,1,3,14,0,0,Thu,PM
2020-01-02 15:00:00+00:00,2020,1,2,15:00:00,1,3,15,0,0,Thu,PM
2020-01-02 16:00:00+00:00,2020,1,2,16:00:00,1,3,16,0,0,Thu,PM
2020-01-02 17:00:00+00:00,2020,1,2,17:00:00,1,3,17,0,0,Thu,PM
2020-01-02 18:00:00+00:00,2020,1,2,18:00:00,1,3,18,0,0,Thu,PM
2020-01-02 19:00:00+00:00,2020,1,2,19:00:00,1,3,19,0,0,Thu,PM
2020-01-02 20:00:00+00:00,2020,1,2,20:00:00,1,3,20,0,0,Thu,PM
2020-01-02 21:00:00+00:00,2020,1,2,21:00:00,1,3,21,0,0,Thu,PM
2020-01-02 22:00:00+00:00,2020,1,2,22:00:00,1,3,22,0,0,Thu,PM
2020-01-02 23:00:00+00:00,2020,1,2,23:00:00,1,3,23,0,0,Thu,PM
2020-01-03 00:00:00+00:00,2020,1,3,00:00:00,1,4,0,0,0,Fri,AM
2020-01-03 01:00:00+00:00,2020,1,3,01:00:00,1,4,1,0,0,Fri,AM
2020-01-03 02:00:00+00:00,2020,1,3,02:00:00,1,4,2,0,0,Fri,AM
2020-01-03 03:00:00+00:00,2020,1,3,03:00:00,1,4,3,0,0,Fri,AM
2020-01-03 04:00:00+00:00,2020,1,3,04:00:00,1,4,4,0,0,Fri,AM
2020-01-03 05:00:00+00:00,2020,1,3,05:00:00,1,4,5,0,0,Fri,AM
2020-01-03 06:00:00+00:00,2020,1,3,06:00:00,1,4,6,0,0,Fri,AM
2020-01-03 07:00:00+00:00,2020,1,3,07:00:00,1,4,7,0,0,Fri,AM
2020-01-03 08:00:00+00:00,2020,1,3,08:00:00,1,4,8,0,0,Fri,AM
2020-01-03 09:00:00+00:00,2020,1,3,09:00:00,1,4,9,0,0,Fri,AM
2020-01-03 10:00:00+00:00,2020,1,3,10:00:00,1,4,10,0,0,Fri,AM
2020-01-03 11:00:00+00:00,2020,1,3,11:00:00,1,4,11,0,0,Fri,AM
2020-01-03 12:00:00+00:00,2020,1,3,12:00:00,1,4,12,0,0,Fri,PM
2020-01-03 13:00:00+00:00,2020,1,3,13:00:00,1,4,13,0,0,Fri,PM
2020-01-03 14:00:00+00:00,2020,1,3,14:00:00,1,4,14,0,0,Fri,PM
2020-01-03 15:00:00+00:00,2020,1,3,15:00:00,1,4,15,0,0,Fri,PM
2020-01-03 16:00:00+00:00,2020,1,3,16:00:00,1,4,16,0,0,Fri,PM
2020-01-03 17:00:00+00:00,2020,1,3,17:00:00,1,4,17,0,0,Fri,PM
2020-01-03 18:00:00+00:00,2020,1,3,18:00:00,1,4,18,0,0,Fri,PM
2020-01-03 19:00:00+00:00,2020,1,3,19:00:00,1,4,19,0,0,Fri,PM
2020-01-03 20:00:00+00:00,2020,1,3,20:00:00,1,4,20,0,0,Fri,PM
2020-01-03 21:00:00+00:00,2020,1,3,21:00:00,1,4,21,0,0,Fri,PM
2020-01-03 22:00:00+00:00,2020,1,3,22:00:00,1,4,22,0,0,Fri,PM
2020-01-03 23:00:00+00:00,2020,1,3,23:00:00,1,4,23,0,0,Fri,PM
2020-01-04 00:00:00+00:00,2020,1,4,00:00:00,1,5,0,0,0,Sat,AM
2020-01-04 01:00:00+00:00,2020,1,4,01:00:00,1,5,1,0,0,Sat,AM
2020-01-04 02:00:00+00:00,2020,1,4,02:00:00,1,5,2,0,0,Sat,AM
2020-01-04 03:00:00+00:00,2020,1,4,03:00:00,1,5,3,0,0,Sat,AM
2020-01-04 04:00:00+00:00,2020,1,4,04:00:00,1,5,4,0,0,Sat,AM
2020-01-04 05:00:00+00:00,2020,1,4,05:00:00,1,5,5,0,0,Sat,AM
2020-01-04 06:00:00+00:00,2020,1,4,06:00:00,1,5,6,0,0,Sat,AM
2020-01-04 07:00:00+00:00,2020,1,4,07:00:00,1,5,7,0,0,Sat,AM
2020-01-04 08:00:00+00:00,2020,1,4,08:00:00,1,5,8,0,0,Sat,AM
